一週農業氣象預報-未來天氣概況、各地天氣預報及農事建議,F-A0010-001
海面天氣預報-海面天氣預報,F-A0012-001
海面天氣預報-海面天氣預報(英文版),F-A0012-002
長期天氣預報-月長期天氣展望,F-A0013-001
長期天氣預報-季長期天氣展望,F-A0013-002
波浪預報模式資料-臺灣海域預報資料,F-A0020-001
潮汐預報-未來1個月潮汐預報,F-A0021-001
滿潮預報圖-今日滿潮預報影像圖,F-A0022-001
滿潮預報圖-明日滿潮預報影像圖,F-A0022-002
滿潮預報圖-後天滿潮預報影像圖,F-A0022-003
滿潮預報圖-第4天滿潮預報影像圖,F-A0022-004
滿潮預報圖-第5天滿潮預報影像圖,F-A0022-005
滿潮預報圖-第6天滿潮預報影像圖,F-A0022-006
滿潮預報圖-第7天滿潮預報影像圖,F-A0022-007
潮汐表-明年高低潮時潮高預報,F-A0023-001
藍色公路海況預報-藍色公路預報逐時海氣象資訊,
- 基隆馬祖航線,F-A0037-001
- 臺中馬公航線,F-A0037-002
- 高雄馬公航線,F-A0037-003
- 東港小琉球航線,F-A0037-004
- 臺東綠島航線,F-A0037-005
- 布袋馬公航線,F-A0037-006
- 烏石龜山島航線,F-A0037-007
- 臺中平潭航線,F-A0037-008
- 臺東蘭嶼航線,F-A0037-009
- 後壁湖蘭嶼航線,F-A0037-010
- 基隆龍洞航線,F-A0037-011
- 龍洞龜山島航線,F-A0037-012
- 基隆臺中航線,F-A0037-013
- 基隆臺州航線,F-A0037-014
- 臺中高雄航線,F-A0037-015
- 臺中金門航線,F-A0037-016
- 高雄花蓮航線,F-A0037-017
- 花蓮基隆航線,F-A0037-018
- 花蓮蘇澳航線,F-A0037-019
- 臺北港平潭航線,F-A0037-020
- 安平東吉島航線,F-A0037-024
- 蘇澳石垣島航線,F-A0037-025
- 基隆彭佳嶼航線,F-A0037-026
QPESUMS-未來1小時定量降雨預報格點資料,F-B0046-001
育樂天氣預報資料-台灣各類型休閒活動景點預報資料,
- 海水浴場一週24小時天氣預報(中文),F-B0053-001
- 海水浴場一週24小時天氣預報(英文),F-B0053-002
- 海水浴場一週日夜天氣預報(中文),F-B0053-003
- 海水浴場一週日夜天氣預報(英文),F-B0053-004
- 海水浴場三天3小時天氣預報(中文),F-B0053-005
- 海水浴場三天3小時天氣預報(英文),F-B0053-006
- 單車一週24小時天氣預報(中文),F-B0053-007
- 單車一週24小時天氣預報(英文),F-B0053-008
- 單車一週日夜天氣預報(中文),F-B0053-009
- 單車一週日夜天氣預報(英文),F-B0053-010
- 單車三天3小時天氣預報(中文),F-B0053-011
- 單車三天3小時天氣預報(英文),F-B0053-012
- 農場旅遊一週24小時天氣預報(中文),F-B0053-013
- 農場旅遊一週24小時天氣預報(英文),F-B0053-014
- 農場旅遊一週日夜天氣預報(中文),F-B0053-015
- 農場旅遊一週日夜天氣預報(英文),F-B0053-016
- 農場旅遊三天3小時天氣預報(中文),F-B0053-017
- 農場旅遊三天3小時天氣預報(英文),F-B0053-018
- 海釣一週24小時天氣預報(中文),F-B0053-019
- 海釣一週24小時天氣預報(英文),F-B0053-020
- 海釣一週日夜天氣預報(中文),F-B0053-021
- 海釣一週日夜天氣預報(英文),F-B0053-022
- 海釣三天3小時天氣預報(中文),F-B0053-023
- 海釣三天3小時天氣預報(中文),F-B0053-024
- 娛樂漁業一週24小時天氣預報(中文),F-B0053-025
- 娛樂漁業一週24小時天氣預報(英文),F-B0053-026
- 娛樂漁業一週日夜天氣預報(中文),F-B0053-027
- 娛樂漁業一週日夜天氣預報(英文),F-B0053-028
- 娛樂漁業三天3小時天氣預報(中文),F-B0053-029
- 娛樂漁業三天3小時天氣預報(英文),F-B0053-030
- 登山一週24小時天氣預報(中文),F-B0053-031
- 登山一週24小時天氣預報(英文),F-B0053-032
- 登山一週日夜天氣預報(中文),F-B0053-033
- 登山一週日夜天氣預報(英文),F-B0053-034
- 登山三天3小時天氣預報(中文),F-B0053-035
- 登山三天3小時天氣預報(英文),F-B0053-036
- 國家公園一週24小時天氣預報(中文),F-B0053-037
- 國家公園一週24小時天氣預報(英文),F-B0053-038
- 國家公園一週日夜天氣預報(中文),F-B0053-039
- 國家公園一週日夜天氣預報(英文),F-B0053-040
- 國家公園三天3小時天氣預報(中文),F-B0053-041
- 國家公園三天3小時天氣預報(英文),F-B0053-042
- 國家風景區一週24小時天氣預報(中文),F-B0053-043
- 國家風景區一週24小時天氣預報(英文),F-B0053-044
- 國家風景區一週日夜天氣預報(中文),F-B0053-045
- 國家風景區一週日夜天氣預報(英文),F-B0053-046
- 國家風景區三天3小時天氣預報(中文),F-B0053-047
- 國家風景區三天3小時天氣預報(英文),F-B0053-048
- 港口一週24小時天氣預報(中文),F-B0053-049
- 港口一週24小時天氣預報(英文),F-B0053-050
- 港口一週日夜天氣預報(中文),F-B0053-051
- 港口一週日夜天氣預報(英文),F-B0053-052
- 港口三天3小時天氣預報(中文),F-B0053-053
- 港口三天3小時天氣預報(英文),F-B0053-054
- 國家森林遊樂區一週24小時天氣預報(中文),F-B0053-055
- 國家森林遊樂區一週24小時天氣預報(英文),F-B0053-056
- 國家森林遊樂區一週日夜天氣預報(中文),F-B0053-057
- 國家森林遊樂區一週日夜天氣預報(英文),F-B0053-058
- 國家森林遊樂區三天3小時天氣預報(中文),F-B0053-059
- 國家森林遊樂區三天3小時天氣預報(英文),F-B0053-060
- 水庫一週24小時天氣預報(中文),F-B0053-061
- 水庫一週24小時天氣預報(英文),F-B0053-062
- 水庫一週日夜天氣預報(中文),F-B0053-063
- 水庫一週日夜天氣預報(英文),F-B0053-064
- 水庫三天3小時天氣預報(中文),F-B0053-065
- 水庫三天3小時天氣預報(英文),F-B0053-066
- 觀星一週24小時天氣預報(中文),F-B0053-067
- 觀星一週24小時天氣預報(英文),F-B0053-068
- 觀星一週日夜天氣預報(中文),F-B0053-069
- 觀星一週日夜天氣預報(英文),F-B0053-070
- 觀星三天3小時天氣預報(中文),F-B0053-071
- 觀星三天3小時天氣預報(英文),F-B0053-072
- 台灣各類型休閒活動景點預報資料,F-B0053-073
一般天氣預報-今明36小時天氣預報,F-C0032-001
一般天氣預報-今明36小時天氣預報(英文版),F-C0032-002
一般天氣預報-七天天氣預報,F-C0032-003
一般天氣預報-七天天氣預報(英文版),F-C0032-004
一般天氣預報-一週縣市天氣預報,F-C0032-005
一般天氣預報-一週縣市天氣預報(英文版),F-C0032-006
一般天氣預報-全球都市天氣預報,F-C0032-007
一般天氣預報-全球都市天氣預報(英文版),F-C0032-008
一般天氣預報-天氣小幫手,
- 台北市天氣小幫手,F-C0032-009
- 新北市天氣小幫手,F-C0032-010
- 基隆市天氣小幫手,F-C0032-011
- 花蓮縣天氣小幫手,F-C0032-012
- 宜蘭縣天氣小幫手,F-C0032-013
- 金門縣天氣小幫手,F-C0032-014
- 澎湖縣天氣小幫手,F-C0032-015
- 台南市天氣小幫手,F-C0032-016
- 高雄市天氣小幫手,F-C0032-017
- 嘉義縣天氣小幫手,F-C0032-018
- 嘉義市天氣小幫手,F-C0032-019
- 苗栗縣天氣小幫手,F-C0032-020
- 台中市天氣小幫手,F-C0032-021
- 桃園市天氣小幫手,F-C0032-022
- 新竹縣天氣小幫手,F-C0032-023
- 新竹市天氣小幫手,F-C0032-024
- 屏東縣天氣小幫手,F-C0032-025
- 南投縣天氣小幫手,F-C0032-026
- 台東縣天氣小幫手,F-C0032-027
- 彰化縣天氣小幫手,F-C0032-028
- 雲林縣天氣小幫手,F-C0032-029
- 連江縣天氣小幫手,F-C0032-030
全臺天氣小幫手-天氣小幫手,F-C0032-031
風力預測-颱風期間各警戒地區風力預測,F-C0034-005
24小時雨量預測-颱風期間各地區24小時雨量預測,F-C0034-006
總雨量預測-颱風期間各地區總雨量預測,F-C0034-007
天氣分析與預測圖-地面天氣圖,F-C0035-001
天氣分析與預測圖-最新天氣圖,F-C0035-003
天氣分析與預測圖-一週天氣預測圖(第0天),F-C0035-006
天氣分析與預測圖-一週天氣預測圖(第1天),F-C0035-007
天氣分析與預測圖-一週天氣預測圖(第2天),F-C0035-008
天氣分析與預測圖-一週天氣預測圖(第3天),F-C0035-009
天氣分析與預測圖-一週天氣預測圖(第4天),F-C0035-010
天氣分析與預測圖-一週天氣預測圖(第5天),F-C0035-011
天氣分析與預測圖-一週天氣預測圖(第6天),F-C0035-012
天氣分析與預測圖-一週天氣預測圖(第7天),F-C0035-013
天氣分析與預測圖-一週天氣預測圖(黑白),F-C0035-014
天氣分析與預測圖-定量降水預報(I)(未來0-12小時),F-C0035-015
天氣分析與預測圖-定量降水預報(II)(未來12-24小時),F-C0035-017
天氣分析與預測圖-波浪分析圖,F-C0035-019
天氣分析與預測圖-24小時波浪預報圖,F-C0035-020
天氣分析與預測圖-36小時波浪預報圖,F-C0035-021
天氣分析與預測圖-48小時波浪預報圖,F-C0035-022
潮高預報-明年逐時潮高預報,F-C0036-001
定量降水預報格點資料-陸上颱風警報期間台灣地區定量降水格點預報,
- 未來0-6小時,F-C0041-001
- 未來6-12小時,F-C0041-002
- 未來12-18小時,F-C0041-003
- 未來18-24小時,F-C0041-004
天氣概況-臺灣天氣概況,F-C0044-001
鄉鎮天氣預報-單一鄉鎮市區預報資料,
- 宜蘭縣未來2天天氣預報,F-D0047-001
- 宜蘭縣未來1週天氣預報,F-D0047-003
- 桃園市未來2天天氣預報,F-D0047-005
- 桃園市未來1週天氣預報,F-D0047-007
- 新竹縣未來2天天氣預報,F-D0047-009
- 新竹縣未來1週天氣預報,F-D0047-011
- 苗栗縣未來2天天氣預報,F-D0047-013
- 苗栗縣未來1週天氣預報,F-D0047-015
- 彰化縣未來2天天氣預報,F-D0047-017
- 彰化縣未來1週天氣預報,F-D0047-019
- 南投縣未來2天天氣預報,F-D0047-021
- 南投縣未來1週天氣預報,F-D0047-023
- 雲林縣未來2天天氣預報,F-D0047-025
- 雲林縣未來1週天氣預報,F-D0047-027
- 嘉義縣未來2天天氣預報,F-D0047-029
- 嘉義縣未來1週天氣預報,F-D0047-031
- 屏東縣未來2天天氣預報,F-D0047-033
- 屏東縣未來1週天氣預報,F-D0047-035
- 臺東縣未來2天天氣預報,F-D0047-037
- 臺東縣未來1週天氣預報,F-D0047-039
- 花蓮縣未來2天天氣預報,F-D0047-041
- 花蓮縣未來1週天氣預報,F-D0047-043
- 澎湖縣未來2天天氣預報,F-D0047-045
- 澎湖縣未來1週天氣預報,F-D0047-047
- 基隆市未來2天天氣預報,F-D0047-049
- 基隆市未來1週天氣預報,F-D0047-051
- 新竹市未來2天天氣預報,F-D0047-053
- 新竹市未來1週天氣預報,F-D0047-055
- 嘉義市未來2天天氣預報,F-D0047-057
- 嘉義市未來1週天氣預報,F-D0047-059
- 臺北市未來2天天氣預報,F-D0047-061
- 臺北市未來1週天氣預報,F-D0047-063
- 高雄市未來2天天氣預報,F-D0047-065
- 高雄市未來1週天氣預報,F-D0047-067
- 新北市未來2天天氣預報,F-D0047-069
- 新北市未來1週天氣預報,F-D0047-071
- 臺中市未來2天天氣預報,F-D0047-073
- 臺中市未來1週天氣預報,F-D0047-075
- 臺南市未來2天天氣預報,F-D0047-077
- 臺南市未來1週天氣預報,F-D0047-079
- 連江縣未來2天天氣預報,F-D0047-081
- 連江縣未來1週天氣預報,F-D0047-083
- 金門縣未來2天天氣預報,F-D0047-085
- 金門縣未來1週天氣預報,F-D0047-087
- 台灣未來2天天氣預報,F-D0047-089
- 台灣未來1週天氣預報,F-D0047-091
鄉鎮天氣預報-全臺灣各鄉鎮市區預報資料,F-D0047-093
