20180622,0050,1,15897,3821737,0.45
20180622,0050,2,33908,64668313,7.72
20180622,0050,3,3611,28296918,3.37
20180622,0050,4,940,12101788,1.44
20180622,0050,5,585,10747613,1.28
20180622,0050,6,505,12947960,1.54
20180622,0050,7,201,7169748,0.85
20180622,0050,8,140,6448016,0.76
20180622,0050,9,234,16639220,1.98
20180622,0050,10,87,12309041,1.46
20180622,0050,11,49,14103616,1.68
20180622,0050,12,14,7071165,0.84
20180622,0050,13,4,2785000,0.33
20180622,0050,14,4,3715000,0.44
20180622,0050,15,55,634676865,75.78
20180622,0050,16,1,2000,0.00
20180622,0050,17,56234,837500000,100.00
